lat,lon,mean_annual_rf,std_annual,cv,dry_days,heavy_days,rf_norm,cv_norm,dry_norm,heavy_norm,scri,risk_tier,scri_z
10.75,76.25,2410.3403,514.776,0.21356983,235.35897435897436,0.7948717948717948,0.25336807149476887,0.9857674831228381,0.6322670728793369,0.9717411121340209,0.6918409848385128,Critical,1.605893003759199
10.75,76.5,1862.6672,381.44824,0.20478603,253.51282051282053,0.5384615384615384,0.19523772626944655,0.9872225344692227,0.542396547369696,0.980856882413369,0.6590704815754211,Critical,1.033897425988725
10.75,76.75,1399.02,404.3682,0.28903675,235.53846153846155,0.0769230769230769,0.14602593953251516,0.9732662600128518,0.6313785224858799,0.9972652689161956,0.6627163685891924,Critical,1.0975348755629797
10.75,77.0,706.74677,318.53418,0.45070484,290.3333333333333,0.0256410256410256,0.07254765138918844,0.9464856671006813,0.3601167809405377,0.9990884229720652,0.5801811741230507,Moderate,-0.3430828002183383
10.75,77.25,1213.3535,1226.5507,1.0108765,292.53846153846155,1.051282051282051,0.12631918792872576,0.8536922829059722,0.34920030467806706,0.9626253418546729,0.5618152235043924,Moderate,-0.6636528705368854
10.75,77.5,710.0688,393.1758,0.5537151,309.05128205128204,0.2307692307692307,0.07290025360892295,0.9294218430718526,0.26745366848003227,0.9917958067485867,0.5556652222337932,Moderate,-0.7709985985479496
10.75,77.75,703.48785,351.50928,0.49966645,316.43589743589746,0.2307692307692307,0.07220174770200405,0.9383750934820132,0.23089616657780532,0.9917958067485867,0.5503824826838123,Moderate,-0.8632066319993469
10.75,78.0,658.2355,384.7259,0.58448064,305.3076923076923,0.1794871794871795,0.06739863663491473,0.9243254792658405,0.28598629097213324,0.9936189608044563,0.5569029592024752,Moderate,-0.7493944117936217
10.75,78.25,817.32355,361.10245,0.4418109,290.79487179487177,0.1538461538461538,0.08428433591012716,0.9479589633246007,0.3578319370716485,0.9945305378323912,0.5824740634766159,Moderate,-0.30306136508726966
10.75,78.5,881.78784,339.7091,0.3852504,299.20512820512823,0.3846153846153846,0.09112661359804956,0.9573283059413709,0.3161970043496678,0.9863263445809779,0.5764910475799356,Moderate,-0.4074924324760315
10.75,78.75,940.1257,353.5482,0.3760648,288.12820512820514,0.3333333333333333,0.09731862839940922,0.9588499161382503,0.37103325720300806,0.9881494986368475,0.5901520936541989,Moderate,-0.1690445246284281
10.75,79.0,1080.4163,423.5541,0.39202863,286.79487179487177,0.7948717948717948,0.1122091552663808,0.9562054806621517,0.377633917268688,0.9717411121340209,0.591176178232695,Moderate,-0.15116955195986803
10.75,79.25,1186.8472,391.97107,0.33026245,294.2307692307692,0.7435897435897436,0.12350579364362034,0.966437152987345,0.3408225438254735,0.9735642661898906,0.5902166016524897,Moderate,-0.16791856420429455
10.75,79.5,1388.2318,376.88174,0.2714833,284.38461538461536,1.4615384615384617,0.14488087363397126,0.9761740187341563,0.38956587969510925,0.9480401094077159,0.6024309700646813,High,0.0452781835216308
10.75,79.75,1511.7213,370.25644,0.24492374,281.20512820512823,1.7179487179487178,0.15798812185686636,0.9805736548298531,0.4053059152363455,0.9389243391283678,0.6083321180938842,High,0.1482802811511375
11.0,75.75,2880.7327,419.69278,0.14568959,210.48717948717947,1.3333333333333333,0.30329579773030596,0.9970119598419014,0.7553947702583647,0.9525979945473899,0.7294701819680875,Critical,2.2626950729972295
11.0,76.0,2708.147,415.19885,0.15331474,220.92307692307693,1.051282051282051,0.2849774499386143,0.9957488408303251,0.7037319116673704,0.9626253418546729,0.7158331629863078,Critical,2.0246665481092623
11.0,76.25,2384.0269,674.7149,0.2830148,226.28205128205127,0.9487179487179488,0.2505751517292153,0.9742638062292229,0.6772023356341573,0.9662716499664121,0.6957468766945049,Critical,1.6740687302941482
11.0,76.5,1645.8181,547.15204,0.33244988,227.84615384615384,0.1794871794871795,0.1722212351458174,0.9660748015031785,0.6694592536340329,0.9936189608044563,0.6754816618474605,Critical,1.3203477885674706
11.0,76.75,650.95575,299.79062,0.46053916,297.05128205128204,0.0256410256410256,0.06662595968464267,0.9448565953371192,0.32685960907115075,0.9990884229720652,0.5713459642969191,Moderate,-0.4972977327339872
11.0,77.0,635.3698,299.0909,0.47073516,306.0,0.2307692307692307,0.06497165777687212,0.94316761066901,0.2825590251687995,0.9917958067485867,0.5597441567212207,Moderate,-0.6998024844665488
11.0,77.25,709.40186,315.10605,0.44418555,296.79487179487177,0.1025641025641025,0.0728294642047244,0.9475655985303554,0.32812896677608927,0.9963536918882607,0.5734544552212892,Moderate,-0.46049489590153486
11.0,77.5,690.3085,259.54123,0.37597862,296.8974358974359,0.1025641025641025,0.07080288373489418,0.9588641920012062,0.32762122369411373,0.9963536918882607,0.5755695808316577,Moderate,-0.4235762533696572
11.0,77.75,651.5046,232.02829,0.35614222,302.1794871794872,0.1025641025641025,0.06668421494672679,0.9621501252564514,0.30147245497238206,0.9963536918882607,0.5699257097646725,Moderate,-0.5220876880554387
11.0,78.0,697.4435,205.4242,0.29453883,297.46153846153845,0.1282051282051282,0.07156019683495822,0.9723548311424409,0.32482863674324924,0.995442114860326,0.578383022899829,Moderate,-0.3744687859503237
11.0,78.25,708.7746,279.6553,0.39456168,302.8205128205128,0.1794871794871795,0.07276288645908371,0.9557858766396377,0.2982990607100361,0.9936189608044563,0.5688398874407559,Moderate,-0.5410402675302947
11.0,78.5,773.8716,336.40216,0.43470025,297.6923076923077,0.1538461538461538,0.07967232035885496,0.9491368545398117,0.32368621480880466,0.9945305378323912,0.5745557871624681,Moderate,-0.441271602473472
11.0,78.75,909.99426,343.7796,0.37778217,298.28205128205127,0.4358974358974359,0.09412045962074164,0.9585654308891849,0.32076669208744635,0.9845031905251083,0.578156631657285,Moderate,-0.37842035143412156
11.0,79.0,952.58594,467.62177,0.4908972,288.05128205128204,0.5641025641025641,0.0986411656078103,0.9398277345962557,0.37141406451448966,0.9799453053854342,0.5838184225806635,Moderate,-0.27959613306818193
11.0,79.25,1240.5282,363.286,0.29284784,287.87179487179486,1.1538461538461535,0.12920352658328915,0.9726349464998286,0.3723026149079466,0.9589790337429336,0.5961250760172666,Moderate,-0.06478858841814376
11.0,79.5,1296.7302,368.74225,0.28436312,280.64102564102564,1.1025641025641026,0.13516883994696097,0.9740404547376865,0.4080985021872102,0.9608021877988032,0.6058810130556528,High,0.10549725669577745
