lat,lon,mean_annual_rf,std_annual,cv,dry_days,heavy_days
13.5,76.0,602.9527,191.31111,0.31729043,302.1025641025641,0.0769230769230769
13.5,76.25,533.81506,229.26608,0.42948598,301.15384615384613,0.0
13.5,76.5,608.1092,226.70863,0.37280908,299.46153846153845,0.0512820512820512
13.5,76.75,648.6495,229.73041,0.35416725,299.46153846153845,0.0769230769230769
13.5,77.0,728.54047,241.87534,0.33199987,306.3076923076923,0.2307692307692307
13.5,77.25,648.46326,250.85312,0.38684246,295.79487179487177,0.0256410256410256
13.5,77.5,754.94977,198.55737,0.2630074,290.56410256410254,0.0769230769230769
13.5,77.75,629.6889,239.92067,0.38101462,311.64102564102564,0.1282051282051282
13.5,78.0,652.27155,235.46176,0.36098734,303.8205128205128,0.0512820512820512
13.5,78.25,820.5289,220.67204,0.26893878,288.0,0.1794871794871795
